payment_id,client_id,lockbox_amount,category
PAY0003136,ClientC,383.67,Missing claim reference
PAY0000086,ClientD,126.93,Timing difference
PAY0001493,ClientC,582.72,Overpayment
PAY0000063,ClientD,480.55,Timing difference
PAY0001357,ClientC,922.22,Overpayment
PAY0000965,ClientA,312.33,Overpayment
PAY0002138,ClientB,200.66,Short pay
PAY0001776,ClientC,136.41,Missing claim reference
PAY0001360,ClientD,394.16,Timing difference
PAY0000628,ClientB,301.33,Missing claim reference
PAY0002066,ClientA,538.37,Missing claim reference
PAY0000905,ClientD,39.21,Overpayment
PAY0001035,ClientD,513.68,Overpayment
PAY0003452,ClientD,274.61,Timing difference
PAY0002787,ClientB,392.18,Timing difference
PAY0000202,ClientC,675.32,Short pay
PAY0002556,ClientD,418.27,Timing difference
PAY0000292,ClientC,116.86,Missing claim reference
PAY0001270,ClientD,476.65,Overpayment
PAY0002073,ClientA,625.31,Missing claim reference
PAY0000225,ClientB,584.67,Overpayment
PAY0001499,ClientD,270.17,Short pay
PAY0002458,ClientC,533.5,Short pay
PAY0003058,ClientD,494.8,Missing claim reference
PAY0001628,ClientD,593.12,Short pay
PAY0002463,ClientD,227.43,Overpayment
PAY0000973,ClientA,640.99,Overpayment
PAY0003364,ClientC,345.4,Timing difference
PAY0003468,ClientA,227.59,Overpayment
PAY0002187,ClientB,829.7,Timing difference
PAY0000717,ClientD,522.68,Overpayment
PAY0002976,ClientB,381.09,Short pay
PAY0001078,ClientA,545.89,Missing claim reference
PAY0003099,ClientC,596.42,Missing claim reference
PAY0003519,ClientC,31.25,Missing claim reference
PAY0002588,ClientC,333.22,Short pay
PAY0000677,ClientD,597.02,Overpayment
PAY0000392,ClientB,225.18,Missing claim reference
PAY0000624,ClientC,222.36,Short pay
PAY0001277,ClientC,174.46,Short pay
PAY0001528,ClientB,403.07,Timing difference
PAY0000890,ClientD,334.14,Overpayment
PAY0002480,ClientC,429.1,Short pay
PAY0000233,ClientB,295.26,Short pay
PAY0003284,ClientD,381.83,Overpayment
PAY0000596,ClientC,260.25,Timing difference
PAY0001813,ClientC,368.13,Missing claim reference
PAY0000982,ClientC,498.79,Timing difference
PAY0002828,ClientC,182.21,Timing difference
PAY0002925,ClientB,470.64,Timing difference
PAY0001786,ClientB,600.43,Overpayment
PAY0002097,ClientD,140.85,Missing claim reference
PAY0002046,ClientD,740.05,Timing difference
PAY0002393,ClientB,1175.82,Timing difference
PAY0000704,ClientA,411.4,Overpayment
PAY0000274,ClientB,828.84,Missing claim reference
PAY0002396,ClientA,249.9,Short pay
PAY0002180,ClientB,369.21,Short pay
PAY0001609,ClientB,570.0,Timing difference
PAY0000748,ClientB,316.96,Short pay
PAY0001341,ClientC,878.08,Missing claim reference
PAY0002753,ClientD,675.84,Overpayment
PAY0000844,ClientC,211.49,Overpayment
PAY0002397,ClientB,739.31,Short pay
PAY0002827,ClientD,433.64,Overpayment
PAY0001804,ClientB,157.8,Timing difference
PAY0001569,ClientC,635.59,Timing difference
PAY0001824,ClientB,637.79,Overpayment
PAY0002085,ClientB,376.14,Short pay
PAY0002970,ClientD,342.54,Overpayment
PAY0000117,ClientC,1566.9,Overpayment
PAY0000820,ClientC,1204.01,Timing difference
PAY0000081,ClientA,507.17,Missing claim reference
PAY0000177,ClientA,532.23,Missing claim reference
PAY0002303,ClientA,301.23,Short pay
PAY0001267,ClientB,358.89,Short pay
PAY0000308,ClientA,150.79,Short pay
PAY0001431,ClientB,324.14,Missing claim reference
PAY0000169,ClientB,559.0,Missing claim reference
PAY0001857,ClientB,57.44,Short pay
PAY0002148,ClientB,464.78,Short pay
PAY0003108,ClientA,1356.11,Timing difference
PAY0000910,ClientA,1259.12,Overpayment
PAY0002157,ClientC,552.81,Short pay
PAY0001682,ClientD,823.68,Overpayment
PAY0003500,ClientB,344.26,Timing difference
PAY0000416,ClientB,99.98,Missing claim reference
PAY0001408,ClientD,333.03,Missing claim reference
PAY0001670,ClientC,859.01,Timing difference
PAY0001780,ClientB,259.03,Missing claim reference
PAY0002446,ClientB,1222.39,Missing claim reference
PAY0001668,ClientB,300.01,Missing claim reference
PAY0002234,ClientC,416.52,Short pay
PAY0002479,ClientB,1551.41,Overpayment
PAY0002667,ClientD,210.64,Timing difference
PAY0001040,ClientA,514.43,Timing difference
PAY0002911,ClientA,171.61,Short pay
PAY0002179,ClientA,211.03,Short pay
PAY0000557,ClientD,776.37,Timing difference
PAY0001921,ClientA,166.94,Timing difference
PAY0003344,ClientB,436.58,Short pay
PAY0001000,ClientB,316.32,Missing claim reference
PAY0000114,ClientB,247.25,Overpayment
PAY0001477,ClientA,1102.71,Missing claim reference
PAY0000380,ClientC,315.97,Missing claim reference
PAY0001403,ClientA,1071.37,Overpayment
PAY0002659,ClientA,382.99,Short pay
PAY0002848,ClientB,308.77,Short pay
PAY0002909,ClientC,128.96,Missing claim reference
PAY0002135,ClientA,149.31,Overpayment
PAY0002057,ClientA,1088.56,Short pay
PAY0003002,ClientB,829.98,Timing difference
PAY0000144,ClientA,511.31,Missing claim reference
PAY0002771,ClientA,637.61,Overpayment
PAY0002818,ClientC,98.22,Missing claim reference
PAY0001784,ClientA,286.69,Timing difference
PAY0003240,ClientA,249.12,Missing claim reference
PAY0002564,ClientB,984.17,Short pay
PAY0002205,ClientA,1935.73,Missing claim reference
PAY0001597,ClientB,347.79,Short pay
PAY0001725,ClientA,228.31,Overpayment
PAY0003336,ClientD,86.8,Missing claim reference
PAY0003577,ClientC,271.02,Short pay
PAY0001963,ClientA,361.27,Short pay
PAY0000849,ClientB,23.36,Timing difference
PAY0003562,ClientB,326.29,Timing difference
PAY0001822,ClientB,2005.07,Short pay
PAY0000705,ClientD,566.11,Short pay
PAY0000261,ClientB,99.86,Short pay
PAY0001664,ClientD,715.41,Short pay
PAY0001489,ClientA,1271.47,Overpayment
PAY0000937,ClientA,617.19,Short pay
PAY0000130,ClientC,304.47,Short pay
PAY0003401,ClientC,809.3,Overpayment
PAY0001269,ClientA,275.51,Timing difference
PAY0002129,ClientD,1101.83,Short pay
PAY0003399,ClientC,908.41,Timing difference
PAY0003502,ClientC,173.02,Short pay
PAY0003034,ClientC,690.21,Short pay
PAY0001480,ClientA,300.83,Short pay
PAY0000212,ClientD,750.65,Missing claim reference
PAY0000640,ClientC,488.14,Overpayment
PAY0000715,ClientC,512.24,Short pay
PAY0003027,ClientD,392.76,Missing claim reference
PAY0002332,ClientA,450.62,Short pay
PAY0000179,ClientA,561.55,Missing claim reference
PAY0001732,ClientA,322.37,Missing claim reference
PAY0001534,ClientA,842.13,Short pay
PAY0001687,ClientB,327.69,Missing claim reference
PAY0001563,ClientA,334.7,Missing claim reference
PAY0003015,ClientC,1101.99,Short pay
PAY0002681,ClientB,1027.49,Short pay
PAY0003359,ClientB,705.45,Overpayment
PAY0001506,ClientB,1124.24,Timing difference
PAY0002064,ClientA,920.4,Short pay
PAY0001142,ClientD,1251.05,Timing difference
PAY0001666,ClientB,188.83,Missing claim reference
PAY0002664,ClientA,574.01,Overpayment
PAY0000051,ClientA,143.67,Timing difference
PAY0000394,ClientB,577.86,Timing difference
PAY0000306,ClientC,239.06,Timing difference
PAY0002672,ClientA,343.68,Short pay
PAY0001599,ClientD,579.01,Timing difference
PAY0002330,ClientC,739.63,Overpayment
PAY0000860,ClientD,555.1,Timing difference
PAY0001530,ClientD,480.08,Short pay
PAY0001229,ClientD,740.84,Missing claim reference
PAY0001289,ClientD,1229.7,Short pay
PAY0000690,ClientA,622.43,Timing difference
PAY0003293,ClientD,845.99,Overpayment
PAY0002162,ClientB,94.55,Timing difference
PAY0001524,ClientD,116.83,Short pay
PAY0003239,ClientB,698.11,Timing difference
PAY0000804,ClientB,188.57,Overpayment
PAY0003043,ClientC,569.39,Timing difference
PAY0000875,ClientD,1239.77,Missing claim reference
PAY0000324,ClientC,103.4,Short pay
PAY0002079,ClientA,57.0,Missing claim reference
PAY0002131,ClientC,286.34,Short pay
PAY0002699,ClientD,360.61,Overpayment
PAY0001829,ClientC,505.18,Timing difference
PAY0001274,ClientC,48.36,Missing claim reference
PAY0002726,ClientB,497.27,Timing difference
PAY0003264,ClientA,201.03,Overpayment
PAY0003030,ClientB,264.43,Overpayment
PAY0002277,ClientB,213.91,Missing claim reference
PAY0000402,ClientA,278.43,Timing difference
PAY0002487,ClientC,308.13,Timing difference
PAY0003110,ClientD,522.08,Overpayment
PAY0001945,ClientD,173.06,Timing difference
PAY0001260,ClientB,225.13,Short pay
PAY0002169,ClientC,83.63,Missing claim reference
PAY0000535,ClientD,321.52,Missing claim reference
PAY0003062,ClientC,516.04,Missing claim reference
PAY0002631,ClientC,328.83,Timing difference
PAY0000370,ClientB,53.91,Missing claim reference
PAY0002589,ClientB,610.87,Overpayment
PAY0000536,ClientC,956.01,Missing claim reference
PAY0001262,ClientD,554.85,Overpayment
PAY0000489,ClientD,210.86,Missing claim reference
PAY0003052,ClientB,443.44,Short pay
PAY0000230,ClientD,372.33,Short pay
PAY0003340,ClientA,516.59,Missing claim reference
PAY0001473,ClientB,1445.81,Overpayment
PAY0001007,ClientD,1358.39,Timing difference
PAY0000186,ClientC,190.51,Overpayment
PAY0000236,ClientA,365.91,Missing claim reference
PAY0002557,ClientB,458.87,Overpayment
PAY0000075,ClientA,396.79,Missing claim reference
PAY0001953,ClientC,290.69,Timing difference
PAY0003070,ClientD,516.64,Short pay
PAY0002985,ClientA,736.3,Timing difference
PAY0003276,ClientB,1201.08,Short pay
PAY0002325,ClientA,484.01,Overpayment
PAY0001809,ClientC,847.83,Overpayment
PAY0000182,ClientA,205.51,Overpayment
PAY0002171,ClientB,317.84,Short pay
PAY0000700,ClientB,1003.91,Short pay
PAY0002674,ClientD,134.64,Short pay
PAY0003525,ClientB,516.64,Missing claim reference
PAY0001091,ClientB,564.26,Overpayment
PAY0002442,ClientC,588.89,Timing difference
PAY0001796,ClientD,838.51,Short pay
PAY0003105,ClientD,309.13,Timing difference
PAY0002311,ClientA,325.0,Timing difference
PAY0003038,ClientB,1096.0,Overpayment
PAY0000856,ClientB,410.24,Missing claim reference
PAY0000453,ClientB,299.72,Overpayment
PAY0000360,ClientC,240.47,Overpayment
PAY0001411,ClientD,54.4,Timing difference
PAY0000978,ClientD,346.35,Timing difference
PAY0001432,ClientC,88.65,Short pay
PAY0001133,ClientC,387.76,Missing claim reference
PAY0001706,ClientA,236.76,Overpayment
PAY0001346,ClientD,95.33,Missing claim reference
PAY0002122,ClientC,98.0,Timing difference
PAY0003374,ClientA,942.31,Overpayment
PAY0000615,ClientD,533.34,Timing difference
PAY0000524,ClientC,363.27,Overpayment
PAY0002742,ClientA,331.87,Overpayment
PAY0001633,ClientA,772.11,Overpayment
