payment_id,client_id,payment_month,lockbox_amount,payment_method
PAY0000104,ClientB,2026-01,353.84,Check
PAY0000105,ClientB,2025-06,654.87,Wire
PAY0000106,ClientC,2025-02,757.54,Wire
PAY0000107,ClientA,2025-01,464.33,Wire
PAY0000108,ClientD,2025-11,113.03,ACH
PAY0000109,ClientD,2026-01,128.65,Check
PAY0000110,ClientD,2025-05,329.79,Wire
PAY0000111,ClientC,2025-03,249.41,ACH
PAY0000112,ClientB,2026-03,83.97,Check
PAY0000113,ClientA,2025-02,430.09,ACH
PAY0000114,ClientB,2025-07,247.25,Wire
PAY0000115,ClientC,2025-08,306.61,Wire
PAY0000116,ClientD,2025-09,1757.77,Wire
PAY0000117,ClientC,2025-10,1566.9,ACH
PAY0000118,ClientA,2026-02,954.9,Wire
PAY0000119,ClientD,2025-04,352.06,Wire
PAY0000120,ClientC,2025-05,678.51,Wire
PAY0000121,ClientD,2025-01,355.0,Check
PAY0000122,ClientB,2025-06,328.25,ACH
PAY0000123,ClientD,2025-07,758.76,ACH
PAY0000124,ClientC,2025-10,427.05,Wire
PAY0000125,ClientB,2026-01,852.39,ACH
PAY0000126,ClientD,2025-10,414.74,Wire
PAY0000127,ClientC,2025-06,474.15,Check
PAY0000128,ClientA,2026-04,891.31,Wire
PAY0000129,ClientC,2026-02,260.49,Check
PAY0000130,ClientC,2025-06,304.47,Wire
PAY0000131,ClientC,2025-03,400.96,Wire
PAY0000132,ClientA,2025-12,926.13,ACH
PAY0000133,ClientB,2025-01,783.97,ACH
PAY0000134,ClientD,2026-04,367.48,Wire
PAY0000135,ClientB,2026-02,1008.22,Check
PAY0000136,ClientD,2025-11,511.7,Wire
PAY0000137,ClientB,2025-06,376.25,ACH
PAY0000138,ClientD,2025-06,602.63,Wire
PAY0000139,ClientC,2026-03,711.52,ACH
PAY0000140,ClientA,2026-04,759.85,ACH
PAY0000141,ClientC,2025-08,370.85,ACH
PAY0000142,ClientB,2026-01,245.6,ACH
PAY0000143,ClientA,2025-07,1431.88,ACH
PAY0000144,ClientA,2025-12,511.31,Check
PAY0000145,ClientA,2025-05,293.94,Check
PAY0000146,ClientD,2025-02,762.28,ACH
PAY0000147,ClientB,2025-10,531.4,Check
PAY0000148,ClientC,2025-06,658.28,ACH
PAY0000149,ClientD,2025-03,671.04,ACH
PAY0000150,ClientD,2026-02,499.29,Wire
PAY0000151,ClientA,2026-03,62.47,Check
PAY0000152,ClientC,2025-10,333.21,ACH
PAY0000153,ClientB,2025-07,651.49,Wire
PAY0000154,ClientC,2025-01,207.19,ACH
PAY0000155,ClientB,2026-01,458.47,ACH
PAY0000156,ClientC,2026-03,1283.38,Wire
PAY0000157,ClientA,2025-06,777.9,ACH
PAY0000158,ClientB,2025-12,332.48,Wire
PAY0000159,ClientB,2025-03,533.85,ACH
PAY0000160,ClientC,2025-08,462.65,Wire
PAY0000161,ClientA,2025-11,384.23,Wire
PAY0000162,ClientB,2025-06,524.87,ACH
PAY0000163,ClientD,2025-10,215.15,ACH
PAY0000164,ClientB,2025-03,183.87,ACH
PAY0000165,ClientB,2025-10,308.04,Wire
PAY0000166,ClientD,2025-03,423.5,ACH
PAY0000167,ClientD,2025-01,774.27,Wire
PAY0000168,ClientB,2025-10,459.05,Wire
PAY0000169,ClientB,2026-04,559.0,Check
PAY0000170,ClientC,2025-06,164.98,Wire
PAY0000171,ClientD,2025-08,727.24,Wire
PAY0000172,ClientA,2025-06,250.51,ACH
PAY0000173,ClientC,2026-02,264.95,ACH
PAY0000174,ClientB,2025-09,416.69,ACH
PAY0000175,ClientB,2025-09,991.14,ACH
PAY0000176,ClientC,2026-04,440.15,ACH
PAY0000177,ClientA,2025-09,532.23,Check
PAY0000178,ClientA,2025-11,612.21,Check
PAY0000179,ClientA,2025-10,561.55,Check
PAY0000180,ClientD,2025-11,423.1,ACH
PAY0000181,ClientD,2025-04,636.17,Wire
PAY0000182,ClientA,2025-04,205.51,ACH
PAY0000183,ClientD,2026-03,432.14,ACH
PAY0000184,ClientC,2025-06,131.16,ACH
PAY0000185,ClientD,2025-02,563.17,Check
PAY0000186,ClientC,2025-11,190.51,Wire
PAY0000187,ClientB,2025-09,119.57,Check
PAY0000188,ClientA,2025-01,249.8,Wire
PAY0000189,ClientC,2025-07,327.97,ACH
PAY0000190,ClientB,2025-06,355.72,Check
PAY0000191,ClientB,2026-02,262.3,Check
PAY0000192,ClientC,2025-03,825.26,Check
PAY0000193,ClientD,2025-01,100.17,Check
PAY0000194,ClientC,2025-09,957.85,Wire
PAY0000195,ClientA,2025-02,484.39,ACH
PAY0000196,ClientA,2025-10,679.99,ACH
PAY0000197,ClientD,2026-02,606.48,Wire
PAY0000198,ClientA,2026-03,75.45,Wire
PAY0000199,ClientB,2025-12,823.03,Check
PAY0000200,ClientD,2025-10,420.8,Check
PAY0000201,ClientD,2025-06,1010.53,Wire
PAY0000202,ClientC,2026-02,675.32,Wire
PAY0000203,ClientD,2025-07,322.39,Wire
PAY0000204,ClientB,2025-07,731.4,ACH
PAY0000205,ClientD,2025-01,145.02,Wire
PAY0000206,ClientA,2025-08,974.76,ACH
PAY0000207,ClientC,2026-04,410.44,ACH
PAY0000208,ClientD,2025-04,214.61,Check
PAY0000209,ClientA,2025-04,191.27,Check
PAY0000210,ClientC,2025-09,354.07,ACH
PAY0000211,ClientC,2025-02,657.95,Wire
PAY0000212,ClientD,2026-03,750.65,ACH
PAY0000213,ClientD,2025-09,573.06,Check
PAY0000214,ClientA,2025-06,836.08,Wire
PAY0000215,ClientC,2025-10,233.45,ACH
PAY0000216,ClientB,2026-04,254.4,ACH
PAY0000217,ClientA,2026-01,303.32,Wire
PAY0000218,ClientD,2025-03,346.27,ACH
PAY0000219,ClientB,2025-04,393.26,Check
PAY0000220,ClientC,2025-02,491.65,ACH
PAY0000221,ClientB,2025-04,1090.34,Check
PAY0000222,ClientC,2025-09,401.1,Check
PAY0000223,ClientC,2025-07,250.45,ACH
PAY0000224,ClientD,2025-05,531.71,ACH
PAY0000225,ClientB,2025-04,584.67,Wire
PAY0000226,ClientA,2025-08,423.35,Check
PAY0000227,ClientB,2025-10,576.79,Wire
PAY0000228,ClientC,2025-03,91.75,Check
PAY0000229,ClientC,2025-05,548.48,Wire
PAY0000230,ClientD,2026-02,372.33,Check
PAY0000231,ClientD,2025-06,380.73,ACH
PAY0000232,ClientD,2026-04,408.53,Check
PAY0000233,ClientB,2026-01,295.26,Wire
PAY0000234,ClientA,2025-12,533.25,ACH
PAY0000235,ClientD,2025-10,300.91,ACH
PAY0000236,ClientA,2025-04,365.91,Check
PAY0000237,ClientA,2026-03,952.73,ACH
PAY0000238,ClientB,2026-01,591.54,Check
PAY0000239,ClientD,2026-03,1289.76,ACH
PAY0000240,ClientD,2025-04,659.61,Wire
PAY0000241,ClientB,2026-01,515.65,ACH
PAY0000242,ClientB,2025-02,117.55,Check
PAY0000243,ClientB,2025-06,691.79,Wire
PAY0000244,ClientB,2026-03,1123.02,Wire
PAY0000245,ClientC,2025-11,359.85,Check
PAY0000246,ClientC,2025-03,347.43,Check
PAY0000247,ClientD,2025-01,159.97,ACH
PAY0000248,ClientC,2025-02,346.64,ACH
PAY0000249,ClientC,2025-12,408.55,ACH
PAY0000250,ClientC,2025-09,900.74,Check
PAY0000251,ClientD,2025-02,263.3,ACH
PAY0000252,ClientA,2025-05,435.94,ACH
PAY0000253,ClientC,2026-04,404.52,Check
PAY0000254,ClientC,2025-02,133.53,ACH
PAY0000255,ClientD,2025-04,929.16,Wire
PAY0000256,ClientD,2026-02,472.42,Check
PAY0000257,ClientC,2026-04,504.52,Wire
PAY0000258,ClientD,2025-08,649.34,Wire
PAY0000259,ClientA,2026-02,1346.52,ACH
PAY0000260,ClientA,2025-10,396.73,Check
PAY0000261,ClientB,2025-12,99.86,ACH
PAY0000262,ClientA,2025-02,278.04,Check
PAY0000263,ClientD,2026-04,903.83,ACH
PAY0000264,ClientA,2026-04,364.4,ACH
PAY0000265,ClientA,2025-10,331.11,ACH
PAY0000266,ClientC,2025-09,1001.88,Wire
PAY0000267,ClientC,2025-10,346.55,ACH
PAY0000268,ClientC,2025-08,622.09,Wire
PAY0000269,ClientD,2026-04,127.29,Wire
PAY0000270,ClientD,2025-01,250.25,ACH
PAY0000271,ClientD,2026-04,319.81,Check
PAY0000272,ClientB,2025-06,109.36,Wire
PAY0000273,ClientB,2025-01,839.98,Wire
PAY0000274,ClientB,2025-05,828.84,Wire
PAY0000275,ClientD,2025-01,724.27,Check
PAY0000276,ClientD,2026-01,940.31,Wire
PAY0000277,ClientD,2025-11,128.25,ACH
PAY0000278,ClientC,2025-03,607.06,Wire
PAY0000279,ClientA,2026-01,423.99,ACH
PAY0000280,ClientD,2025-09,512.15,Check
PAY0000281,ClientD,2026-02,185.65,Check
PAY0000282,ClientD,2025-08,580.37,Check
PAY0000283,ClientB,2025-12,666.96,ACH
PAY0000284,ClientB,2025-09,846.85,Check
PAY0000285,ClientD,2025-10,574.4,Wire
PAY0000286,ClientC,2025-03,1291.43,Wire
PAY0000287,ClientC,2025-07,126.99,Wire
PAY0000288,ClientA,2026-02,326.47,Wire
PAY0000289,ClientD,2025-05,760.86,Wire
PAY0000290,ClientC,2025-01,586.89,Check
PAY0000291,ClientC,2025-05,283.75,Check
PAY0000292,ClientC,2025-05,116.86,Check
PAY0000293,ClientB,2025-05,416.78,ACH
PAY0000294,ClientA,2025-03,444.77,ACH
PAY0000295,ClientD,2025-09,140.15,Wire
PAY0000296,ClientA,2025-01,530.97,ACH
PAY0000297,ClientC,2025-04,307.33,Check
PAY0000298,ClientD,2025-11,816.11,Check
PAY0000299,ClientB,2026-01,998.28,Check
PAY0000300,ClientA,2025-02,235.78,Check
PAY0000301,ClientD,2025-06,223.55,ACH
PAY0000302,ClientC,2026-04,111.67,Check
PAY0000303,ClientB,2026-04,176.68,ACH
PAY0000304,ClientA,2026-04,736.23,ACH
PAY0000305,ClientB,2025-07,252.16,Check
PAY0000306,ClientC,2025-10,239.06,Check
PAY0000307,ClientA,2025-01,410.67,ACH
PAY0000308,ClientA,2025-08,150.79,Check
PAY0000309,ClientA,2025-09,224.15,ACH
PAY0000310,ClientD,2025-03,417.37,Check
PAY0000311,ClientB,2025-12,693.65,Wire
PAY0000312,ClientC,2026-03,252.84,Check
PAY0000313,ClientB,2025-11,440.48,ACH
PAY0000314,ClientC,2026-02,540.95,ACH
PAY0000315,ClientA,2026-01,499.94,Check
PAY0000316,ClientA,2025-10,826.24,Check
PAY0000317,ClientA,2025-12,1257.37,Wire
PAY0000318,ClientC,2025-06,625.03,Check
PAY0000319,ClientC,2026-01,242.56,Check
PAY0000320,ClientB,2026-01,235.47,Wire
PAY0000321,ClientC,2026-02,323.31,Wire
PAY0000322,ClientC,2026-01,222.54,Wire
PAY0000323,ClientA,2025-05,833.57,Check
PAY0000324,ClientC,2025-09,103.4,Check
PAY0000325,ClientB,2025-02,1982.65,Wire
PAY0000326,ClientA,2025-11,1079.63,ACH
PAY0000327,ClientD,2025-07,704.87,ACH
PAY0000328,ClientB,2026-01,555.91,Wire
PAY0000329,ClientA,2025-12,130.21,Check
PAY0000330,ClientC,2026-03,440.2,ACH
PAY0000331,ClientD,2025-04,269.75,Wire
PAY0000332,ClientC,2025-12,1054.74,Wire
PAY0000333,ClientD,2025-09,318.27,Wire
PAY0000334,ClientC,2025-09,339.01,ACH
PAY0000335,ClientA,2026-04,361.36,Check
PAY0000336,ClientB,2025-01,522.09,Check
PAY0000337,ClientC,2025-08,505.9,ACH
PAY0000338,ClientA,2025-01,671.47,ACH
PAY0000339,ClientD,2025-09,483.09,ACH
PAY0000340,ClientD,2025-10,726.88,ACH
PAY0000341,ClientB,2025-10,308.37,ACH
PAY0000342,ClientB,2026-02,657.96,ACH
PAY0000343,ClientD,2025-09,307.72,ACH
PAY0000344,ClientC,2025-08,536.16,Wire
PAY0000345,ClientB,2025-09,850.84,Wire
PAY0000346,ClientA,2025-03,142.49,Check
PAY0000347,ClientC,2026-03,102.36,ACH
PAY0000348,ClientC,2025-11,334.98,Check
PAY0000349,ClientA,2025-07,728.2,Wire
PAY0000350,ClientD,2025-12,150.7,ACH
PAY0000351,ClientA,2025-12,261.15,ACH
PAY0000352,ClientA,2025-12,370.64,Wire
PAY0000353,ClientD,2025-10,427.63,Check
PAY0000354,ClientB,2025-08,555.92,Check
PAY0000355,ClientA,2025-01,560.44,Wire
PAY0000356,ClientD,2026-04,171.75,Wire
PAY0000357,ClientA,2025-12,344.34,Check
PAY0000358,ClientD,2026-01,570.55,ACH
PAY0000359,ClientD,2026-04,1073.92,Wire
PAY0000360,ClientC,2025-03,240.47,Check
PAY0000361,ClientB,2025-01,1061.14,Wire
PAY0000362,ClientC,2026-04,661.39,ACH
PAY0000363,ClientD,2025-06,549.33,Check
PAY0000364,ClientD,2025-03,443.56,Check
PAY0000365,ClientA,2025-07,285.32,Wire
PAY0000366,ClientB,2026-02,739.75,Check
PAY0000367,ClientD,2025-04,527.58,Wire
PAY0000368,ClientB,2025-09,242.24,ACH
PAY0000369,ClientD,2025-09,1099.38,Check
PAY0000370,ClientB,2025-04,53.91,Check
PAY0000371,ClientB,2025-08,502.31,ACH
PAY0000372,ClientC,2026-02,143.4,ACH
PAY0000373,ClientB,2025-03,471.62,Check
PAY0000374,ClientD,2025-09,982.78,ACH
PAY0000375,ClientB,2025-05,404.92,Check
PAY0000376,ClientC,2025-03,97.58,ACH
PAY0000377,ClientD,2025-02,409.43,Wire
PAY0000378,ClientC,2025-03,1180.88,Wire
PAY0000379,ClientA,2025-06,1083.34,ACH
PAY0000380,ClientC,2025-09,315.97,ACH
PAY0000381,ClientD,2025-09,651.63,Check
PAY0000382,ClientB,2025-09,1158.19,Check
PAY0000383,ClientB,2026-02,354.35,Wire
PAY0000384,ClientB,2025-05,1208.62,ACH
PAY0000385,ClientA,2025-09,1232.81,ACH
PAY0000386,ClientC,2026-01,1026.84,Check
PAY0000387,ClientA,2025-08,1344.62,Check
PAY0000388,ClientA,2025-08,503.82,ACH
PAY0000389,ClientC,2025-11,633.07,Wire
PAY0000390,ClientB,2026-03,207.03,Wire
PAY0000391,ClientB,2025-03,496.67,Check
PAY0000392,ClientB,2025-05,225.18,ACH
PAY0000393,ClientD,2025-03,1177.57,ACH
PAY0000394,ClientB,2025-06,577.86,Check
PAY0000395,ClientC,2026-02,236.42,Check
PAY0000396,ClientC,2025-07,668.71,Wire
PAY0000397,ClientD,2025-07,502.68,ACH
PAY0000398,ClientB,2025-07,169.61,Wire
PAY0000399,ClientA,2025-06,574.95,Check
PAY0000400,ClientD,2026-02,1602.94,ACH
PAY0000401,ClientB,2026-03,473.77,ACH
PAY0000402,ClientA,2026-04,278.43,Wire
PAY0000403,ClientC,2025-07,286.93,Wire
PAY0000404,ClientD,2025-10,146.25,Wire
PAY0000405,ClientA,2025-03,263.52,ACH
PAY0000406,ClientB,2025-05,511.76,Wire
PAY0000407,ClientB,2025-12,569.16,Check
PAY0000408,ClientD,2025-05,216.3,Wire
PAY0000409,ClientA,2025-03,384.2,ACH
PAY0000410,ClientD,2025-02,827.69,Check
PAY0000411,ClientA,2026-01,705.76,Check
PAY0000412,ClientB,2025-02,348.04,Check
PAY0000413,ClientA,2025-06,620.33,Check
PAY0000414,ClientA,2025-10,400.05,Wire
PAY0000415,ClientB,2025-12,527.65,Wire
PAY0000416,ClientB,2025-10,99.98,Check
PAY0000417,ClientC,2026-04,311.7,Wire
PAY0000418,ClientC,2026-01,671.7,ACH
PAY0000419,ClientB,2026-02,462.65,Check
PAY0000420,ClientA,2025-06,729.51,ACH
PAY0000421,ClientC,2025-04,86.61,ACH
PAY0000422,ClientB,2025-10,276.97,ACH
PAY0000423,ClientB,2025-02,38.16,Wire
PAY0000424,ClientB,2025-06,436.35,ACH
PAY0000425,ClientD,2025-07,576.57,ACH
PAY0000426,ClientB,2025-05,412.11,Wire
PAY0000427,ClientA,2026-02,172.55,ACH
PAY0000428,ClientC,2025-11,935.29,ACH
PAY0000429,ClientB,2025-08,400.22,Check
PAY0000430,ClientD,2025-02,555.47,ACH
PAY0000431,ClientC,2025-02,312.01,ACH
PAY0000432,ClientB,2025-10,1013.04,Check
PAY0000433,ClientA,2025-08,882.29,ACH
PAY0000434,ClientB,2026-03,356.91,Check
PAY0000435,ClientC,2025-06,616.88,Wire
PAY0000436,ClientB,2026-02,379.45,ACH
PAY0000437,ClientD,2025-10,280.87,Check
PAY0000438,ClientD,2025-02,216.02,ACH
PAY0000439,ClientA,2026-02,951.98,ACH
PAY0000440,ClientA,2025-01,217.44,Wire
PAY0000441,ClientD,2025-07,478.89,ACH
PAY0000442,ClientD,2025-03,338.6,Check
PAY0000443,ClientB,2025-03,193.42,Wire
PAY0000444,ClientD,2025-12,504.04,Wire
PAY0000445,ClientD,2025-10,302.22,ACH
PAY0000446,ClientD,2025-09,308.77,Check
PAY0000447,ClientB,2026-03,748.65,Check
PAY0000448,ClientD,2026-03,445.01,ACH
PAY0000449,ClientB,2025-04,634.06,Wire
PAY0000450,ClientD,2025-01,548.55,Wire
PAY0000451,ClientC,2025-10,357.72,Wire
PAY0000452,ClientB,2025-10,48.05,Check
PAY0000453,ClientB,2025-11,299.72,ACH
PAY0000454,ClientA,2025-07,735.7,Wire
PAY0000455,ClientB,2025-06,286.49,Check
PAY0000456,ClientB,2025-02,211.49,Wire
PAY0000457,ClientB,2025-02,521.18,Wire
PAY0000458,ClientA,2026-02,184.49,Wire
PAY0000459,ClientB,2025-01,154.0,ACH
PAY0000460,ClientB,2025-01,122.76,Wire
PAY0000461,ClientC,2025-05,274.73,Wire
PAY0000462,ClientC,2025-05,840.85,ACH
PAY0000463,ClientB,2025-08,288.88,ACH
PAY0000464,ClientC,2025-11,620.44,Check
PAY0000465,ClientD,2025-11,236.35,Check
PAY0000466,ClientD,2025-04,684.94,ACH
PAY0000467,ClientD,2025-11,1341.71,Wire
PAY0000468,ClientD,2025-07,611.33,ACH
PAY0000469,ClientC,2026-03,16.31,Wire
PAY0000470,ClientA,2026-01,492.5,ACH
PAY0000471,ClientA,2026-03,291.05,ACH
PAY0000472,ClientA,2026-01,227.31,ACH
PAY0000473,ClientA,2025-05,714.72,ACH
PAY0000474,ClientC,2025-01,680.96,ACH
PAY0000475,ClientB,2025-10,408.88,ACH
PAY0000476,ClientC,2025-03,1080.07,Check
PAY0000477,ClientD,2025-07,324.42,Check
PAY0000478,ClientC,2025-10,488.24,ACH
PAY0000479,ClientD,2026-03,317.42,ACH
PAY0000480,ClientA,2025-09,234.71,Wire
PAY0000481,ClientC,2025-09,203.5,Check
PAY0000482,ClientC,2025-08,380.51,ACH
PAY0000483,ClientA,2026-02,510.82,ACH
PAY0000484,ClientB,2025-08,123.64,Wire
PAY0000485,ClientD,2026-03,133.61,ACH
PAY0000486,ClientA,2026-04,404.13,ACH
PAY0000487,ClientD,2025-09,96.52,Wire
PAY0000488,ClientB,2025-06,525.02,Wire
PAY0000489,ClientD,2025-03,210.86,ACH
PAY0000490,ClientB,2025-06,586.83,ACH
PAY0000491,ClientB,2025-08,911.72,Check
PAY0000492,ClientB,2025-01,142.45,Check
PAY0000493,ClientD,2025-01,138.19,Check
PAY0000494,ClientD,2025-02,461.31,Check
PAY0000495,ClientA,2026-03,174.01,Wire
PAY0000496,ClientB,2025-10,404.14,Wire
PAY0000497,ClientB,2025-06,817.78,Check
PAY0000498,ClientD,2025-04,494.94,Check
PAY0000499,ClientC,2025-10,520.51,Check
PAY0000500,ClientD,2025-12,170.74,Check
PAY0000501,ClientB,2025-07,643.3,Wire
PAY0000502,ClientC,2025-05,1028.51,Wire
PAY0000503,ClientA,2025-04,122.09,Wire
PAY0000504,ClientD,2025-07,1102.38,Wire
PAY0000505,ClientC,2025-08,1234.47,ACH
PAY0000506,ClientC,2026-02,405.46,ACH
PAY0000507,ClientC,2025-01,538.06,ACH
PAY0000508,ClientC,2025-11,396.33,Wire
PAY0000509,ClientA,2025-03,237.77,Wire
PAY0000510,ClientA,2026-02,595.26,Check
PAY0000511,ClientC,2025-07,135.61,Wire
PAY0000512,ClientD,2025-03,733.43,Check
PAY0000513,ClientA,2026-02,475.45,ACH
PAY0000514,ClientA,2025-02,430.42,Check
PAY0000515,ClientC,2026-01,286.27,Check
PAY0000516,ClientD,2025-05,791.63,Check
PAY0000517,ClientB,2025-02,1151.68,Wire
PAY0000518,ClientA,2025-09,109.77,Check
PAY0000519,ClientD,2025-06,591.52,Check
PAY0000520,ClientD,2025-03,384.83,Wire
PAY0000521,ClientD,2025-10,293.66,Wire
PAY0000522,ClientB,2025-09,161.87,Check
PAY0000523,ClientA,2025-08,561.41,Check
PAY0000524,ClientC,2025-01,363.27,Check
PAY0000525,ClientA,2025-11,1035.68,ACH
PAY0000526,ClientD,2025-08,327.45,Wire
PAY0000527,ClientD,2026-03,140.87,Wire
PAY0000528,ClientC,2026-02,752.07,Check
PAY0000529,ClientA,2025-11,512.7,Check
PAY0000530,ClientB,2025-11,374.49,Wire
PAY0000531,ClientA,2025-11,317.12,Wire
PAY0000532,ClientB,2026-03,1019.18,ACH
PAY0000533,ClientA,2025-01,546.02,Check
PAY0000534,ClientD,2025-10,295.18,ACH
PAY0000535,ClientD,2025-08,321.52,Wire
PAY0000536,ClientC,2025-09,956.01,Check
PAY0000537,ClientC,2025-08,1576.99,ACH
PAY0000538,ClientC,2025-12,1119.27,Check
PAY0000539,ClientD,2025-12,544.03,Check
PAY0000540,ClientD,2026-04,485.27,Check
PAY0000541,ClientB,2025-01,212.33,ACH
PAY0000542,ClientD,2025-08,199.68,Check
PAY0000543,ClientB,2026-02,895.52,Wire
PAY0000544,ClientB,2026-02,1044.75,Wire
PAY0000545,ClientB,2026-02,324.6,Wire
PAY0000546,ClientA,2026-04,435.73,Check
PAY0000547,ClientB,2025-08,727.33,Wire
PAY0000548,ClientD,2025-08,133.28,Check
PAY0000549,ClientC,2025-04,128.6,Check
PAY0000550,ClientA,2026-04,450.12,ACH
PAY0000551,ClientD,2026-02,359.47,Check
PAY0000552,ClientA,2025-07,503.14,Wire
PAY0000553,ClientD,2026-01,522.82,ACH
PAY0000554,ClientD,2025-07,62.42,Wire
PAY0000555,ClientA,2025-06,225.32,Check
PAY0000556,ClientC,2025-09,364.87,ACH
PAY0000557,ClientD,2026-04,776.37,Check
PAY0000558,ClientB,2026-04,514.78,Check
PAY0000559,ClientC,2025-06,868.15,Wire
PAY0000560,ClientC,2025-07,435.71,ACH
PAY0000561,ClientB,2025-10,515.9,Check
